Q1	41.79	124.46	270.00		TO252
R11	115.57	127.64	180.00	300	R3216
R12	123.83	110.49	180.00	300	R3216
R13	123.83	113.67	180.00	300	R3216
R14	123.83	107.32	180.00	300	R3216
R2	111.13	52.07	90.00	LED	R3216
R3	117.48	52.07	90.00	LED	R3216
R4	123.19	52.07	90.00	LED	R3216
R5	137.80	52.07	90.00	LED	R3216
R6	109.86	6.35	0.00	300	R3216
R7	139.06	14.61	90.00	300	R3216
R8	90.17	14.61	180.00	300	R3216
R9	124.46	5.08	180.00	300	R3216
RFET	51.44	126.75	180.00	20k	R3216
